date,close,volume,active_addresses,tx_count
2021-07-06,0.6651,30242645.40658242,12119,761226
2021-07-07,0.65201,23641107.19833324,12575,881556
2021-07-08,0.62166,38630999.27183691,12421,1012714
2021-07-09,0.63724,38943745.16561382,12601,888221
2021-07-10,0.62466,30768445.1488004,11062,790658
2021-07-11,0.63649,20915070.19768158,10532,766018
2021-07-12,0.62888,31748136.17272426,11298,806991
2021-07-13,0.61913,29005274.78652614,11354,786635
2021-07-14,0.61972,44539516.19626471,11603,855361
2021-07-15,0.59771,32136351.43707053,11404,834461
2021-07-16,0.58923,30825590.32036501,11470,834418
2021-07-17,0.58231,39135660.05454108,10198,808119
2021-07-18,0.5865,27974744.53527923,9335,800591
2021-07-19,0.55713,31898414.7189997,11403,843265
2021-07-20,0.52849,47785508.7087892,14584,823841
2021-07-21,0.57168,47552105.1464122,12289,740735
2021-07-22,0.59235,46470649.2236997,11257,809387
2021-07-23,0.60925,35766063.79677079,11459,794671
2021-07-24,0.60884,31950999.83716376,9639,823535
2021-07-25,0.6068,24677733.67436755,9373,789948
2021-07-26,0.62368,83345357.02017169,13226,865034
2021-07-27,0.6449,40241490.19635157,10584,776680
2021-07-28,0.7329,131298812.3036625,14722,924268
2021-07-29,0.74901,67980066.44063798,12688,726671
2021-07-30,0.75257,78394119.45951688,15156,819755
2021-07-31,0.746,45449585.03426742,12615,781143
2021-08-01,0.72413,55768737.46640657,12836,808082
2021-08-02,0.73819,59639745.22225296,12528,817522
2021-08-03,0.71344,48494890.42745113,12399,754128
2021-08-04,0.7312,44413636.492641,11675,703790
2021-08-05,0.73293,33366922.0224453,10936,746606
2021-08-06,0.7472,27994342.97265252,11477,712571
2021-08-07,0.81717,72753091.44753703,13376,773704
2021-08-08,0.77868,73047105.03744009,12585,782510
2021-08-09,0.81682,62947907.58574507,12317,768000
2021-08-10,0.85117,65689828.31766297,12791,750621
2021-08-11,1.0109,154208140.71516058,19621,949949
2021-08-12,0.96613,138481495.78210598,16251,1093344
