date,close,volume,active_addresses,tx_count
2021-11-14,279.309,187510.80807229,441148,119980
2021-11-15,262.883,183330.92160579,442069,135067
2021-11-16,230.395,300091.92836771,348037,133747
2021-11-17,229.656,218995.6056501,600786,132188
2021-11-18,204.024,263077.86928721,268624,124158
2021-11-19,217.903,231909.402782,304623,129249
2021-11-20,226.831,157676.09617745,299663,128525
2021-11-21,221.159,157624.91096412,285939,115823
2021-11-22,209.021,184297.76686106,312446,123687
2021-11-23,216.103,153232.10521698,343625,126007
2021-11-24,212.312,139303.87255279,361795,138466
2021-11-25,222.897,134816.7241988,353855,142291
2021-11-26,195.766,258868.60259214,322703,120743
2021-11-27,195.15,124994.62482092,301587,108957
2021-11-28,199.519,166017.63893022,299285,101019
2021-11-29,205.528,117271.55237329,318192,109807
2021-11-30,207.762,172138.65456072,356958,127470
2021-12-01,208.693,118800.81495504,400658,142424
2021-12-02,203.429,111346.9425221,379590,138694
2021-12-03,188.028,145137.81783965,404892,138543
2021-12-04,162.73,237998.59423609,394975,134134
2021-12-05,156.376,124108.63077692,378370,125347
2021-12-06,161.394,133038.7665797,382089,122605
2021-12-07,161.899,109231.44948391,368342,113279
2021-12-08,164.928,108803.79605728,351530,109988
2021-12-09,151.375,103797.79447257,382656,111142
2021-12-10,148.373,106136.41917593,349143,114875
2021-12-11,158.09,122096.46768288,358656,108166
2021-12-12,159.01,86754.49045677,259691,101479
2021-12-13,144.454,94867.93684213,316658,121183
2021-12-14,150.57,92427.85882698,332161,130681
2021-12-15,153.515,100443.94394017,324933,127205
2021-12-16,148.758,75336.33280103,324758,121636
2021-12-17,144.071,65329.54793618,345022,120250
2021-12-18,148.636,48088.90614176,342769,118767
2021-12-19,153.249,95512.55433421,336509,112919
2021-12-20,152.66,89446.53867646,396665,119373
2021-12-21,154.794,77299.39575373,392488,120958
2021-12-22,155.42,81420.62728233,404767,128455
2021-12-23,163.683,87169.12563478,298582,123743
2021-12-24,161.212,91560.90954899,297571,119853
2021-12-25,157.885,60469.32627397,245145,99330
2021-12-26,155.815,87294.56006806,249106,96091
2021-12-27,155.937,82818.09796812,282223,104888
2021-12-28,145.676,101559.8016937,289509,99306
2021-12-29,145.578,59506.66485454,260747,97822
2021-12-30,148.043,68997.40991758,301453,103339
2021-12-31,146.165,63281.02047342,297675,100793
2022-01-01,150.733,44172.98065584,256460,100380
2022-01-02,151.136,57077.36369878,276528,105736
2022-01-03,148.361,61185.93454266,299706,107734
2022-01-04,146.51,58475.91685183,304571,108653
2022-01-05,135.28,90044.22612836,304507,112208
2022-01-06,135.975,63634.02795744,317546,110491
2022-01-07,131.294,84720.92455901,312309,112194
2022-01-08,129.486,62005.29501552,312869,109996
2022-01-09,130.85,47826.14696872,309492,100506
2022-01-10,126.537,60566.07488565,344380,112095
2022-01-11,131.546,51726.71838265,353432,109355
2022-01-12,141.955,75196.20527697,363882,110729
2022-01-13,136.753,55478.56823175,368565,109662
2022-01-14,144.741,101902.70628421,353139,113318
