date,close,volume,active_addresses,tx_count
2021-07-06,2322.46,72152.04659906,582960,1355421
2021-07-07,2315.96,49342.10396107,588423,1290979
2021-07-08,2115.85,61850.13418879,588538,1262627
2021-07-09,2146.38,56151.06040199,593720,1223691
2021-07-10,2109.96,36012.27144784,544549,1139265
2021-07-11,2140.49,28593.97203195,578124,1101766
2021-07-12,2030.61,40948.22619079,551183,1191465
2021-07-13,1940.42,50463.5990606,564378,1183412
2021-07-14,1995.21,59841.13160331,588607,1223130
2021-07-15,1918.94,58637.19723799,602431,1259972
2021-07-16,1876.21,49091.58888415,568019,1199018
2021-07-17,1899.13,48703.93417701,546153,1164624
2021-07-18,1891.14,56347.80957451,533205,1168843
2021-07-19,1818.53,41264.02638512,581805,1195218
2021-07-20,1785.0,87207.77722761,586375,1192750
2021-07-21,1995.24,91276.06305687,600059,1195171
2021-07-22,2024.82,65773.36814424,590183,1202844
2021-07-23,2124.64,67036.84284045,612742,1203397
2021-07-24,2184.0,66209.99484096,627527,1225509
2021-07-25,2190.41,81661.23591305,566614,1128848
2021-07-26,2227.28,146963.92698187,651897,1260619
2021-07-27,2300.46,54759.36082739,731645,1318124
2021-07-28,2299.86,61736.05676202,691120,1300283
2021-07-29,2382.33,42438.8210616,628698,1259128
2021-07-30,2462.58,68316.51821101,625795,1242337
2021-07-31,2531.56,50407.67563448,615234,1212322
2021-08-01,2555.66,94593.66403033,609619,1190618
2021-08-02,2607.29,106078.04040862,647157,1269470
2021-08-03,2508.79,124824.83114333,597708,1219663
2021-08-04,2724.8,111952.50022127,605814,1223841
2021-08-05,2827.02,127783.36352092,527820,1159663
2021-08-06,2891.69,105927.62543733,528548,1212021
2021-08-07,3158.92,114390.86582125,515004,1198433
2021-08-08,3011.35,101264.74057411,528091,1184278
2021-08-09,3162.03,108458.6101499,515125,1218594
2021-08-10,3140.72,83302.41374119,521466,1212289
2021-08-11,3162.0,84677.24655798,524067,1234409
2021-08-12,3046.45,101745.72756798,527452,1195283
2021-08-13,3322.78,90860.34816782,522902,1197050
2021-08-14,3263.13,65614.95599755,500097,1159942
2021-08-15,3306.82,86187.39578215,490025,1125295
2021-08-16,3146.87,88504.64801635,542706,1253968
2021-08-17,3012.19,134811.07775445,530631,1252163
2021-08-18,3014.56,90433.65647243,513849,1201544
2021-08-19,3183.51,75960.34613805,563048,1255453
2021-08-20,3283.98,76262.38934436,562206,1260054
2021-08-21,3224.2,61919.27418,529226,1186758
2021-08-22,3237.67,55354.21646654,512238,1183893
2021-08-23,3321.67,74951.36731299,538781,1245624
2021-08-24,3170.38,80084.45930949,521033,1247051
2021-08-25,3227.1,62734.90010653,499356,1184780
2021-08-26,3091.89,59932.47890923,498865,1175063
2021-08-27,3272.26,67150.16584972,484937,1119072
