date,close,volume,active_addresses,tx_count
2021-05-21,37257.0,13365.87411688,942736,225921
2021-05-22,37453.8,10179.56518335,918673,221219
2021-05-23,34676.9,14558.40212191,957018,195260
2021-05-24,38809.9,10412.74700432,975836,236897
2021-05-25,38320.9,9520.13878761,968674,232254
2021-05-26,39241.4,9233.46947077,933622,228063
2021-05-27,38527.7,8469.64540474,864432,217523
2021-05-28,35661.2,11531.34517002,972164,217451
2021-05-29,34600.2,12290.41413565,863265,192912
2021-05-30,35644.4,7624.55210582,990443,182281
2021-05-31,37257.6,8288.36586648,977895,229620
2021-06-01,36689.4,7683.09502812,914351,231423
2021-06-02,37589.0,6046.54340783,1090605,252343
2021-06-03,39249.9,5991.13810668,1015474,253523
2021-06-04,36829.3,8194.77534541,907519,235300
2021-06-05,35514.6,7313.70229337,762659,192819
2021-06-06,35798.1,5183.52049311,737174,188480
2021-06-07,33560.0,6693.22678492,910652,237064
2021-06-08,33379.8,10968.25291235,998834,245071
2021-06-09,37377.0,9786.86344386,817282,213689
2021-06-10,36673.0,7953.00496074,948298,252966
2021-06-11,37337.6,5668.35626872,874050,212379
2021-06-12,35573.4,6153.43028558,1013611,223896
2021-06-13,39018.7,7947.76537761,799859,182420
2021-06-14,40543.0,9828.01439756,972587,248537
2021-06-15,40156.7,7466.72524707,963054,242092
2021-06-16,38347.2,7972.12325903,954838,254125
2021-06-17,38091.2,7793.90305612,865333,236736
2021-06-18,35823.0,7211.36151168,825241,224077
2021-06-19,35478.5,5600.90553303,688095,182467
2021-06-20,35600.5,7100.3775531,652470,168027
2021-06-21,31614.1,13620.6485917,835557,208474
2021-06-22,32505.1,14492.17412516,776432,196802
2021-06-23,33675.0,9779.35209084,847730,233460
2021-06-24,34657.9,6292.05133514,843836,226845
2021-06-25,31588.1,8644.09514911,880813,223011
2021-06-26,32283.7,8232.10619727,715801,180868
2021-06-27,34704.4,6201.73835382,518219,123967
2021-06-28,34490.7,6438.36854468,776365,215492
2021-06-29,35908.9,6179.9829238,792995,207236
2021-06-30,35045.4,5743.848897,790273,217133
2021-07-01,33500.1,5862.19733593,817115,232056
2021-07-02,33791.4,4815.31796337,809016,189904
2021-07-03,34675.2,3265.35647557,1027108,234315
2021-07-04,35273.7,2936.64620448,843475,169312
2021-07-05,33683.7,4075.2545818,902032,223372
2021-07-06,34228.5,4425.08052252,853332,232857
2021-07-07,33862.8,3811.98736395,811614,220912
2021-07-08,32875.7,4430.45908695,802085,228850
2021-07-09,33816.4,3393.73863807,818441,223467
2021-07-10,33510.0,3252.0101229,726034,193966
2021-07-11,34263.5,2880.66303705,690684,160653
2021-07-12,33089.4,4117.53539976,838472,225239
2021-07-13,32725.2,3605.48200495,807050,227411
2021-07-14,32819.3,4379.42305702,817900,235584
2021-07-15,31868.5,4180.08632143,828844,224713
2021-07-16,31389.1,3316.32314459,764392,223179
2021-07-17,31520.2,2846.31356992,640355,181727
2021-07-18,31778.1,3325.38259467,651828,163158
2021-07-19,30833.3,3335.89495173,845474,228590
2021-07-20,29782.5,5621.45293025,822257,228207
2021-07-21,32144.0,6911.48800749,815589,237007
2021-07-22,32289.7,3146.42471514,780869,223683
2021-07-23,33634.7,3248.74036973,803246,234138
2021-07-24,34256.7,3775.28197007,712132,196325
2021-07-25,35388.4,4124.18296697,641796,172110
2021-07-26,37242.9,14005.47588008,958347,269826
2021-07-27,39465.5,5662.53372956,903400,251334
2021-07-28,40015.5,10022.39273758,868607,255513
2021-07-29,40022.4,7328.6256963,880689,261353
2021-07-30,42217.2,7634.61483282,841162,250833
2021-07-31,41464.0,5900.90723491,720022,204354
2021-08-01,39852.1,6814.36379395,695892,190234
2021-08-02,39147.8,7179.10065784,899861,236019
2021-08-03,38201.7,9288.5027511,820918,246833
2021-08-04,39719.8,8111.31285721,842870,237723
2021-08-05,40864.4,10942.48820985,854629,249454
2021-08-06,42839.6,8605.00430412,894265,258639
2021-08-07,44574.4,8389.71456376,724467,207621
2021-08-08,43792.8,8345.60050629,740945,197270
2021-08-09,46269.0,7845.11311519,934412,254532
2021-08-10,45581.3,6603.16986028,875882,259626
2021-08-11,45520.8,7611.35984946,866724,261571
2021-08-12,44415.2,9021.96448908,842547,252677
2021-08-13,47807.7,8178.02534973,917929,256053
2021-08-14,47071.4,6501.92478658,724702,211657
2021-08-15,46980.4,7538.96655666,750378,181221
2021-08-16,45887.0,8152.33972192,978773,270372
2021-08-17,44684.3,10153.62758384,953226,254546
2021-08-18,44708.3,9385.036469,876483,247197
2021-08-19,46765.7,7253.81598237,888796,254656
2021-08-20,49319.4,7915.8350641,984372,272396
2021-08-21,48821.3,6635.9862635,787645,216018
2021-08-22,49237.4,5705.20110463,715639,191939
2021-08-23,49478.2,7078.66982677,973417,271010
2021-08-24,47662.5,5769.06409098,945668,263660
2021-08-25,48983.2,4955.54961864,867743,264966
2021-08-26,46829.5,5422.08985861,818959,254481
2021-08-27,49054.1,4508.67334764,864176,260937
2021-08-28,48890.0,3254.33980409,726381,212867
2021-08-29,48763.2,3663.59402625,685753,196139
2021-08-30,46981.0,5164.10791857,910173,249956
2021-08-31,47095.5,4456.80469762,930055,273720
2021-09-01,48815.3,4693.04992712,954959,277500
2021-09-02,49248.9,5074.7017701,1026339,293611
2021-09-03,50011.0,5689.38477589,1008068,278164
